,fileid,p,alpha,q,r,k,tau,m0,b0,error,p_tilde,q_tilde,alpha_tilde,r_tilde,k_tilde,tau_tilde
10,2410712,0.09880891688778543,0.0014389883225328082,0.6368113747978927,0.3471054337673111,1.9594842739848084,40.14434189738037,1.0034232834832788,1.0238919598206118,0.016546543376807596,1.0,6.444877596635352,0.014860420182426004,3.442669366993834,20.30484956946218,3.966618942053099
11,2595895,0.08955316647310507,0.025841477721341544,0.9517865940284553,0.7575832186644343,0.7768503890730982,36.09222720925784,0.9948581867015261,1.00186055442262,0.023411836064481936,1.0,10.628173536602965,0.2905912264572497,8.40046448045334,8.690879308370885,3.2321732316558003
12,1259089,0.12321141211140801,0.02144392527958411,0.058891497750244104,0.05262978632228321,-0.08548468437572287,24.908195232223605,1.0,1.0,0.021338808325695298,1.0,0.47797112898109057,0.17404171344286248,0.42715025678542873,-0.6938049236740137,3.0689739077089104
13,1700316,0.20784732776413645,0.014906022326898027,0.9149053936633923,0.808079922522531,0.9041464995287196,12.028952862238356,0.9790255739272548,1.010018650651612,0.008825724870420906,1.0,4.401814560260404,0.07398653337300694,3.7685520181591365,4.393632755681486,2.5001857082170025
14,1131771,0.09106545211461692,0.012814504480139488,0.9963631676432754,0.7023851169159155,1.4801856514360923,90.5179096312101,1.0025785876982782,1.0001486039465637,0.0202769312531163,0.9999999999999999,10.941176313375477,0.14037645708497584,7.73170979104202,16.25650099449649,8.243054365036185
15,1372439,0.15501378670693727,0.0652423059682905,0.997517502526053,0.8128471460474134,-5.72037107875202,12.001039025552103,1.003446675960783,1.0,0.015096601053908162,1.0,6.435024417614665,0.4194350105923759,5.261782091082764,-36.902337529285184,1.8603265037685641
16,1128913,0.09086860063701335,0.004213968820950431,0.8894542797514322,0.7417942128227075,3.485277590498026,67.02306673178786,0.7584307173897704,1.0492328120295882,0.01677367617013135,1.0,9.788356742770532,0.06415543105701457,5.900837450742348,40.243467835383456,6.090292284318727
17,2583483,0.08702004361950566,0.001083717585368571,0.311346886744842,0.3521415367771966,-6.109105383307545,14.67117138479653,1.0092978019832732,0.9889036267611838,0.015312192989592006,1.0,3.577875553662136,0.012202012518439354,4.130126144983968,-69.42442474787423,1.2766859738542373
18,2184783,0.10296406018858578,0.01148367785452109,0.5575328852869366,0.5424631269250818,-0.8911839071864025,20.15037039774966,1.1121674399571637,0.9370366499344008,0.01646650670233016,0.9999999999999999,5.414830031622457,0.09396838055976686,6.253140143586747,-8.110324916635033,2.0747639504561937
19,92229,0.09437357157235376,0.04016659673746614,0.7271864065765711,0.5039621769498327,0.10791486763358948,25.746765596059447,0.7892118879568778,1.217316291167475,0.017552321072650943,0.9999999999999999,7.705403053640458,0.6564844757648771,3.4620850795045444,1.3919842625520942,2.4298142257363318
20,1790794,0.06440735720441748,0.0019466190097344738,0.662919360466337,0.6016267205195731,0.739452657937445,49.15818707550929,1.0451994549394632,1.0222250735049618,0.014806537428678178,1.0,10.292603038537182,0.029559210859693683,9.55089966369919,11.736035763965493,3.1661489144939057
21,1727897,0.11937898395238172,0.010296475893169843,0.8920734271590829,0.8880578926444711,0.6321760331387805,15.018553126814304,0.996223617320464,0.9790082363414812,0.023147152458318603,0.9999999999999999,7.472617018711736,0.08475986201541472,7.5697909832777555,5.184376033116702,1.7928996127139571
